Geography,Age group,Sex,Seeing,Hearing,Mobility,Flexibility,Dexterity,Pain,Learning,Memory,Developmental,Mental and/or psychological,Unknown disability type
Canada,15 to 24 years,Males,"12,640","9,730","16,950","20,380","15,200","32,100","53,380","22,180","35,920","50,980",
Canada,16 to 24 years,Females,"13,800","10,270","27,390","25,710","11,430","51,310","36,970","18,640","17,380","45,140","3,250"
Canada,25 to 44 years,Males,"26,160","40,620","85,000","106,320","45,420","163,760","63,830","43,560","19,680","106,550","6,190"
Canada,25 to 44 years,Females,"49,100","43,320","130,620","152,890","66,400","246,910","75,210","63,630","16,850","146,560","7,570"
Canada,45 to 64 years,Males,"175,280","174,110","374,120","428,710","206,910","539,850","122,610","108,130","31,630","221,580","15,620"
Canada,46 to 64 years,Females,"195,230","146,800","449,400","510,550","230,170","672,150","138,230","154,030","20,040","282,100","8,870"
Canada,65 to 74 years,Males,"43,410","105,740","163,160","162,940","58,980","190,700","24,230","39,920","2,500","46,210","9,160"
Canada,66 to 74 years,Females,"66,400","76,110","225,750","208,400","94,690","261,960","28,990","38,730",,"61,210","4,650"
Canada,75 years and over,Males,"69,010","129,360","194,740","180,070","73,650","179,740","39,370","59,560",,"39,220","5,280"
Canada,76 years and over,Females,"105,280","138,540","304,600","282,010","150,230","325,760","39,430","79,800",,"60,040",
Newfoundland and Labrador,15 to 24 years,Males,,,390,320,150,680,740,320,380,610,
Newfoundland and Labrador,16 to 24 years,Females,,,530,500,,760,480,130,420,720,
Newfoundland and Labrador,25 to 44 years,Males,590,530,"1,610","1,850","1,030","2,510",820,,740,"1,370",
Newfoundland and Labrador,25 to 44 years,Females,460,720,"2,210","2,540","1,150","3,530",960,"1,010",490,"2,040",
Newfoundland and Labrador,45 to 64 years,Males,"2,150","5,110","6,920","7,190","3,670","9,690",980,"1,960",,"3,080",
Newfoundland and Labrador,46 to 64 years,Females,"2,820","2,770","8,740","9,790","4,390","12,240",,"1,670",,"2,980",
Newfoundland and Labrador,65 to 74 years,Males,,"1,790","3,040","2,810",810,"2,990",,170,,,
Newfoundland and Labrador,66 to 74 years,Females,420,,"3,600","2,610","1,680","2,530",,,,700,
Newfoundland and Labrador,75 years and over,Males,950,"1,870","2,210","2,130",810,"2,100",,360,,,
Newfoundland and Labrador,76 years and over,Females,"2,150","1,720","4,500","4,280","2,860","3,970",,"1,420",,,
Prince Edward Island,15 to 24 years,Males,,,,,,130,,,,140,
Prince Edward Island,16 to 24 years,Females,,,,,,,,,50,,
Prince Edward Island,25 to 44 years,Males,140,110,260,340,170,770,150,90,,410,
Prince Edward Island,25 to 44 years,Females,,,720,780,100,"1,150",380,,,690,
Prince Edward Island,45 to 64 years,Males,680,"1,240","1,780","1,830",760,"2,480",500,430,,"1,050",
Prince Edward Island,46 to 64 years,Females,920,730,"1,980","2,240",980,"3,310",540,500,,910,
Prince Edward Island,65 to 74 years,Males,240,440,770,660,310,850,,180,,160,
Prince Edward Island,66 to 74 years,Females,230,400,"1,210","1,180",400,"1,320",,80,,230,
Prince Edward Island,75 years and over,Males,420,760,"1,040",920,270,790,,220,,,
Prince Edward Island,76 years and over,Females,600,900,"1,520","1,520",600,"1,600",,560,,,
Nova Scotia,15 to 24 years,Males,460,,710,480,350,"1,150","2,090",690,990,"1,690",
Nova Scotia,16 to 24 years,Females,240,,580,700,280,"1,650","1,350",560,430,"1,730",
Nova Scotia,25 to 44 years,Males,"1,120","1,360","3,060","3,770","1,580","5,790","1,800","1,500",780,"2,230",
Nova Scotia,25 to 44 years,Females,"1,960","1,630","4,990","4,910","2,090","9,640","2,700","1,550",,"5,710",
Nova Scotia,45 to 64 years,Males,"7,110","8,960","14,300","18,050","7,340","23,160","4,000","4,540",,"6,450",
Nova Scotia,46 to 64 years,Females,"7,370","6,290","18,570","20,950","9,360","27,410","3,450","4,350",,"10,570",
Nova Scotia,65 to 74 years,Males,"3,050","5,490","8,520","7,490","4,590","8,600",,"1,070",,"1,030",
Nova Scotia,66 to 74 years,Females,"2,370","2,410","8,740","7,490","2,540","10,390",,,,"1,610",
Nova Scotia,75 years and over,Males,"2,060","5,290","7,970","7,420","3,570","7,960",,"2,490",,"1,800",
Nova Scotia,76 years and over,Females,"4,210","4,150","8,940","8,090","3,910","9,010",700,"1,590",,"1,280",
New Brunswick,15 to 24 years,Males,90,170,480,570,510,750,"1,180",420,770,910,
New Brunswick,16 to 24 years,Females,190,,340,240,,980,590,240,260,530,
New Brunswick,25 to 44 years,Males,"1,180",820,"2,600","2,790","1,350","4,370","2,380","1,990","1,130","2,520",
New Brunswick,25 to 44 years,Females,,"1,040","3,640","3,990","1,850","6,000","1,580","1,640",520,"3,880",
New Brunswick,45 to 64 years,Males,"5,000","6,170","11,910","13,530","5,980","14,830","3,210","4,020",,"6,790",
New Brunswick,46 to 64 years,Females,"5,050","5,690","14,120","14,070","6,390","18,950","4,640","3,880",,"9,020",
New Brunswick,65 to 74 years,Males,"1,120","2,880","5,530","6,090","2,650","6,620",830,"1,520",,830,
New Brunswick,66 to 74 years,Females,"1,340","1,490","5,640","4,900","2,620","6,590",280,"1,060",,780,
New Brunswick,75 years and over,Males,"1,760","3,880","5,410","5,380","2,470","4,630",,"1,380",,,
New Brunswick,76 years and over,Females,"3,010","3,980","8,550","8,140","3,760","8,490",,"1,640",,"2,190",
Quebec,15 to 24 years,Males,"1,670",,"3,020","2,770","2,750","4,530","9,530","3,870","6,510","6,700",
Quebec,16 to 24 years,Females,"1,680",,"3,130","2,730","1,660","7,580","6,450","2,870","3,200","6,080",
Quebec,25 to 44 years,Males,"4,240","3,520","12,290","16,190","4,320","25,280","11,020","5,800","2,710","14,040",
Quebec,25 to 44 years,Females,"3,380","6,550","16,230","18,720","6,450","30,790","11,020","5,150","3,490","18,750",
Quebec,45 to 64 years,Males,"16,900","20,940","64,150","65,620","29,260","88,190","18,120","10,080",,"32,980",
Quebec,46 to 64 years,Females,"23,220","16,670","74,430","69,360","37,610","95,430","23,460","14,980",,"41,860",
Quebec,65 to 74 years,Males,"5,880","13,890","29,980","27,450","6,890","31,350","5,940","6,920",,"5,880",
Quebec,66 to 74 years,Females,"9,480","12,730","39,700","34,060","10,580","42,210",,"4,290",,"6,990",
Quebec,75 years and over,Males,"13,550","17,230","31,990","31,470","11,080","29,450",,"9,910",,,
Quebec,76 years and over,Females,"21,760","22,850","66,390","56,020","19,840","61,240","7,840","13,610",,"11,830",
Ontario,15 to 24 years,Males,"6,010","4,420","6,310",,,"13,140",,"8,160","16,470",,
Ontario,16 to 24 years,Females,"6,950","4,470","15,110","13,940",,"23,990","15,870","9,010","7,200","21,410",
Ontario,25 to 44 years,Males,"10,520","22,480","41,530","53,080","25,640","71,550","25,430","16,540","5,970","56,210",
Ontario,25 to 44 years,Females,"26,670","20,690","65,800","79,270","34,900","119,860","34,590","32,200",,"68,820",
Ontario,45 to 64 years,Males,"87,570","74,090","166,290","199,750","102,620","235,840","57,380","51,930",,"109,900",
Ontario,46 to 64 years,Females,"85,590","75,630","190,640","249,440","103,410","303,320","68,920","82,030",,"127,150",
Ontario,65 to 74 years,Males,"16,170","41,460","64,020","70,250","23,950","80,650",,"16,880",,"25,320",
Ontario,66 to 74 years,Females,"30,960","31,220","102,920","101,350","50,180","123,100","17,460","23,040",,"33,640",
Ontario,75 years and over,Males,"30,590","57,130","84,270","76,910","26,430","74,550","20,980","27,870",,"21,060",
Ontario,76 years and over,Females,"30,890","59,520","120,800","117,620","72,200","145,230","16,350","35,490",,"20,780",
Manitoba,15 to 24 years,Males,440,490,540,570,550,"1,110","1,770","1,010","1,490","1,780",
Manitoba,16 to 24 years,Females,340,480,660,630,280,"1,680",770,480,310,"1,350",
Manitoba,25 to 44 years,Males,"1,510","1,540","4,170","4,420","2,370","7,250","3,340","2,280","1,980","3,040",
Manitoba,25 to 44 years,Females,"2,430","1,820","4,840","5,450","1,440","8,770","2,730","1,880",870,"5,700",
Manitoba,45 to 64 years,Males,"5,900","9,170","12,860","15,050","7,510","18,920","3,930","3,600",920,"5,430",
Manitoba,46 to 64 years,Females,"7,650","5,430","19,670","19,660","9,170","24,890","2,750","3,890",,"9,340",
Manitoba,65 to 74 years,Males,"1,630","3,260","5,460","6,660","1,730","7,820",820,"1,860",,"1,820",530
