Geography,Year,Average income (dollars),Median income (dollars),"Number of persons (x 1,000)",Percentage without income,Percentage with income,"Percentage under $10,000 (including loss)","$10,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 and over"
Canada,1976,"25,000","18,700","17,255",17.2,82.8,35.6,16.2,13.3,11.5,9.3,6.2,8
Canada,1977,"24,700","19,400","17,629",16.7,83.3,34.3,16.6,13.5,11.5,9.4,6.7,7.9
Canada,1978,"25,200","19,900","17,983",16.9,83.1,34,16.1,13.9,11.4,9.8,6.7,8.1
Canada,1979,"25,000","19,900","18,320",15.2,84.8,32.3,17.8,14,12.4,9.5,6.4,7.6
Canada,1980,"25,800","20,500","18,665",13.9,86.1,31.2,18,14.2,11.9,9.6,6.9,8.2
Canada,1981,"25,700","20,900","18,972",12.3,87.7,29.8,18.9,15.1,12.5,9.6,6.4,7.8
Canada,1982,"25,100","20,100","19,244",11.9,88.1,29.8,19.8,15.4,12.4,9.3,6.1,7.1
Canada,1983,"24,600","19,100","19,485",11.9,88.1,30.6,20.9,14.8,12.1,9,5.6,7
Canada,1984,"24,900","19,700","19,736",10.6,89.4,29.3,21.2,15.6,12,9.3,5.9,6.7
Canada,1985,"25,400","20,300","19,982",9.8,90.2,28,21.4,16.3,12.3,8.9,6,7.1
Canada,1986,"25,600","20,700","20,221",9.6,90.4,27.1,21.6,16.8,12.2,9.4,6,6.9
Canada,1987,"25,700","21,100","20,491",8.5,91.5,26.2,21.7,17.2,12.9,9.5,6.1,6.5
Canada,1988,"26,500","22,100","20,767",7.8,92.2,24.1,21.8,17.5,13.3,10.4,6.1,6.8
Canada,1989,"27,100","22,900","21,071",7.3,92.7,22.6,21.5,18.3,13.9,10.4,6.5,6.7
Canada,1990,"26,300","21,900","21,417",7.3,92.7,24,21.9,18,13.9,9.7,5.9,6.5
Canada,1991,"25,400","20,800","21,690",8.2,91.8,25,23.2,17.4,13.8,9.3,5.5,5.8
Canada,1992,"25,500","20,900","21,986",8.3,91.7,25.4,22.6,17,13.6,9.7,5.6,6.2
Canada,1993,"25,100","20,900","22,118",7.4,92.6,24.7,23.2,18.1,13.4,9.6,5.5,5.4
Canada,1994,"25,200","20,800","22,425",7.5,92.5,25,23.1,17.8,13.6,9.4,5.5,5.6
Canada,1995,"25,300","21,000","22,700",7.1,92.9,25.1,22.8,17.9,13.8,9.5,5.3,5.6
Canada,1996,"25,300","20,700","22,953",6.3,93.7,25.1,23.3,17.6,13.7,9.1,5.4,5.8
Canada,1997,"25,600","20,900","23,219",5.8,94.2,25.3,22.7,17.9,13.7,8.9,5.4,6.1
Canada,1998,"26,900","21,900","23,231",3.9,96.1,23.2,23.1,17.8,14.2,9.2,5.7,6.8
Canada,1999,"27,800","22,700","23,533",4,96,22.5,22.2,17.7,14.6,9.7,5.9,7.4
Canada,2000,"28,500","22,900","23,892",3.7,96.3,22.2,22,17.7,14.2,9.5,6.2,8.1
Canada,2001,"29,600","23,900","24,207",3.6,96.4,20.8,21.6,17.8,14.6,9.9,6.2,9.2
Canada,2002,"29,800","24,000","24,517",3,97,20.7,21.5,17.9,14.4,9.8,6.3,9.4
Canada,2003,"29,600","23,900","24,848",3.2,96.8,21,21.4,18.1,14.3,9.8,6.2,9.3
Canada,2004,"30,200","24,200","25,179",3,97,20.7,21.5,17.5,14.4,9.8,6.2,10
Canada,2005,"30,600","24,600","25,583",2.8,97.2,20.3,20.7,17.8,14.6,9.7,6.5,10.3
Canada,2006,"31,400","25,500","25,886",2.6,97.4,19.7,20.3,17.6,14.6,10.3,6.5,10.9
Canada,2007,"32,500","26,400","26,273",2.3,97.7,18.9,19.8,17.4,14.7,10.4,6.9,11.8
Canada,2008,"32,900","26,500","26,692",2,98,18.5,19.9,17.1,14.3,10.7,7.1,12.4
Canada,2009,"33,000","26,600","27,053",2.6,97.4,19.1,19.5,16.6,14.3,10.8,7,12.7
Canada,2010,"32,900","26,400","27,482",2.8,97.2,18.9,19.9,16.9,14.1,10.7,6.9,12.8
Canada,2011,"33,100","26,600","27,789",2.8,97.2,18.4,19.8,17,14.3,11,6.5,13
Newfoundland and Labrador,1976,"18,200","12,000",374,25.4,74.6,42.5,20.7,13.7,8.7,6.5,3.7,4.2
Newfoundland and Labrador,1977,"18,700","12,400",380,24,76,41.9,19.9,13.4,9.5,7.3,3.7,4.3
