Geography,Year,Average income (dollars),Median income (dollars),"Number of persons (x 1,000)",Percentage without income,Percentage with income,"Percentage under $10,000 (including loss)","$10,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 and over"
Newfoundland and Labrador,1976,"18,200","12,000",374,25.4,74.6,42.5,20.7,13.7,8.7,6.5,3.7,4.2
Newfoundland and Labrador,1977,"18,700","12,400",380,24,76,41.9,19.9,13.4,9.5,7.3,3.7,4.3
Newfoundland and Labrador,1978,"19,000","13,600",384,24,76,40.7,20.4,15.6,8.7,6.5,3.7,4.5
Newfoundland and Labrador,1979,"18,700","13,600",392,21.4,78.6,38.4,22.8,15.9,9.2,6.3,4,3.4
Newfoundland and Labrador,1980,"18,600","12,900",400,24,76,41.2,22.1,12.3,9.1,7.5,4.9,2.9
Newfoundland and Labrador,1981,"19,900","14,600",403,19.8,80.2,37.1,23.4,14.3,9.7,7.1,4.1,4.3
Newfoundland and Labrador,1982,"19,200","14,700",411,20.8,79.2,36.9,23.9,15,10.3,6.8,3.9,3.2
Newfoundland and Labrador,1983,"17,700","13,200",417,24.7,75.3,40.8,22.6,15.4,8.4,7.1,3.2,2.5
Newfoundland and Labrador,1984,"18,100","13,900",420,19.5,80.5,38.1,25.2,15.5,9,6.5,3.1,2.6
Newfoundland and Labrador,1985,"18,300","13,900",423,19.3,80.7,38.6,26.1,13.9,9.2,6,3.4,2.8
Newfoundland and Labrador,1986,"17,800","13,900",426,18.7,81.3,37,26.8,17.2,8.4,4.9,3.1,2.7
Newfoundland and Labrador,1987,"18,600","14,800",429,16.5,83.5,35.1,26.8,16.9,9.3,5.8,3.3,2.8
Newfoundland and Labrador,1988,"19,700","16,100",434,14,86,31.5,27.6,17.7,10.3,6.3,4,2.5
Newfoundland and Labrador,1989,"20,400","16,700",438,12.7,87.3,30.4,26.7,18.6,10.4,7,3.9,2.9
Newfoundland and Labrador,1990,"20,000","16,300",441,12.4,87.6,30.9,28.2,17.4,10.6,6.5,3.6,2.7
Newfoundland and Labrador,1991,"19,100","15,200",447,13.2,86.8,34.3,28.3,15.7,9.7,6,3.6,2.5
Newfoundland and Labrador,1992,"19,300","15,700",449,13.4,86.6,32.8,28.4,16.7,9.8,5.9,3.5,2.8
Newfoundland and Labrador,1993,"19,100","16,200",447,10.1,89.9,31.6,28.7,18.5,9.9,6.8,3,1.5
Newfoundland and Labrador,1994,"19,300","16,200",445,10.5,89.5,32.1,29.2,17.2,9.4,6.8,3.6,1.7
Newfoundland and Labrador,1995,"19,100","16,200",442,10.3,89.7,32.5,28.8,17.1,10,6.7,3.1,1.8
Newfoundland and Labrador,1996,"18,900","16,200",437,8.8,91.2,33.3,28.4,17.2,9.5,6.8,3.1,1.7
Newfoundland and Labrador,1997,"18,800","16,100",432,8.2,91.8,33.7,27.8,17.3,9.9,7.1,2.9,1.4
Newfoundland and Labrador,1998,"20,200","16,500",424,6.1,93.9,31.1,28.3,16.7,11.6,6.5,2.9,2.8
Newfoundland and Labrador,1999,"21,200","17,100",422,6.6,93.4,29.5,27.6,18,11.4,7.1,3.1,3.4
Newfoundland and Labrador,2000,"21,800","17,100",420,5.6,94.4,29.3,28.1,16.9,11.3,6.8,3.4,4.3
Newfoundland and Labrador,2001,"22,200","18,000",420,5.6,94.4,27.4,27.9,18.1,11.6,7.4,3.6,4
Newfoundland and Labrador,2002,"22,700","18,400",420,5.1,94.9,26.6,27.5,18,12.4,7.5,3.5,4.5
Newfoundland and Labrador,2003,"22,600","18,300",423,4.7,95.3,25.4,29.2,17.6,12.8,7.2,3.3,4.5
Newfoundland and Labrador,2004,"22,800","18,400",424,4.6,95.4,24.8,30.4,17.3,12.3,6.4,3.9,4.8
Newfoundland and Labrador,2005,"24,000","19,400",423,3.6,96.4,24.5,27.5,20.2,11.6,6.4,4.5,5.3
Newfoundland and Labrador,2006,"25,100","20,100",418,3.6,96.4,21.9,27.8,20.2,12.7,6.9,4.4,6.1
Newfoundland and Labrador,2007,"27,000","21,100",421,3.1,96.9,20.4,26.2,20.7,12.4,7.3,5.1,7.9
Newfoundland and Labrador,2008,"28,100","22,600",420,3.2,96.8,20.4,24.1,20.1,13,8.6,5,8.8
Newfoundland and Labrador,2009,"28,800","23,100",420,2.5,97.5,18.7,23.9,21,12.6,9.3,5.3,9.3
Newfoundland and Labrador,2010,"29,600","23,500",423,2.5,97.5,17.6,24.8,20.3,13.2,8.8,5.6,9.8
Newfoundland and Labrador,2011,"31,200","24,800",422,2.3,97.7,16.1,22.8,20.5,14.3,9.5,5.6,11.1
Prince Edward Island,1976,"20,700","11,800",83,14.5,85.5,44.2,17.4,13.2,12.2,5,3.4,4.6
Prince Edward Island,1977,"19,700","14,600",85,13.1,86.9,34.6,25.1,16.4,10.3,6.6,3.6,3.5
Prince Edward Island,1978,"19,300","12,900",87,17.7,82.3,35.6,20.3,21.4,9.6,7.2,3.7,2.2
Prince Edward Island,1979,"19,800","15,200",89,12.9,87.1,33.4,26,17,10.6,7,3.2,2.8
Prince Edward Island,1980,"20,500","14,800",90,12.1,87.9,31,26.9,19.2,7.7,5.6,6,3.6
Prince Edward Island,1981,"19,600","15,300",91,12.9,87.1,32.7,26.8,17.7,10.7,5.8,2.9,3.4
Prince Edward Island,1982,"19,800","15,800",92,10.8,89.2,32.2,28.1,16.7,9.7,6.8,3.5,2.9
Prince Edward Island,1983,"20,300","17,300",93,10,90,31.7,25.5,21.4,9,5.3,3.7,3.3
Prince Edward Island,1984,"20,000","16,200",95,9.5,90.5,30.2,28.5,18.3,10.1,6.9,3.1,2.9
Prince Edward Island,1985,"20,100","16,300",96,9.3,90.7,29.6,29.9,18.6,9.5,5.5,3.6,3.2
Prince Edward Island,1986,"20,400","16,600",96,8.4,91.6,27.7,32.5,17.9,9.6,6.5,2.9,2.9
Prince Edward Island,1987,"21,200","17,600",97,8,92,26.6,29.6,19.5,11.3,6.5,3.3,3.2
Prince Edward Island,1988,"20,600","17,900",98,6.5,93.5,25.6,30.2,22.1,11.3,5.5,2.8,2.5
Prince Edward Island,1989,"21,600","18,900",98,5.7,94.3,24,29.3,23.3,11.7,6.2,2.8,2.8
Prince Edward Island,1990,"21,800","18,500",99,5.7,94.3,24.1,30.3,20.3,12.9,6.9,2.9,2.7
Prince Edward Island,1991,"21,200","17,600",99,4.7,95.3,23.2,33,20,11.6,6.4,3.4,2.3
Prince Edward Island,1992,"21,800","18,700",101,6.1,93.9,24.8,28.4,19.9,13.1,8,3.5,2.4
Prince Edward Island,1993,"21,300","18,300",101,5.2,94.8,23,31.7,20.5,13.4,7.4,2.2,1.8
Prince Edward Island,1994,"21,600","18,500",102,4.9,95.1,22.3,31.9,19.8,15,6.8,2.4,1.9
Prince Edward Island,1995,"21,600","18,800",103,4.6,95.4,23,30.6,21.4,13.6,6.9,2.1,2.4
Prince Edward Island,1996,"21,800","19,000",104,3,97,22.5,30.8,20.7,13.8,7.9,2.5,1.8
Prince Edward Island,1997,"21,500","18,700",105,3.4,96.6,22.6,31.4,21.5,14.3,6.3,1.7,2.1
Prince Edward Island,1998,"22,300","19,200",105,2.2,97.8,22.8,30,21.5,13,6.3,3.2,3
Prince Edward Island,1999,"23,100","19,200",104,2.1,97.9,22,31.2,20.2,11.8,8,4.4,2.5
Prince Edward Island,2000,"23,600","19,800",105,2.2,97.8,21.7,29,21.7,12.3,8.2,3.4,3.8
Prince Edward Island,2001,"24,100","20,300",106,2.4,97.6,21.4,27.9,21.3,14.4,7.5,3.6,3.9
