Year,GEO,Economic family type,Income concept,After-tax income quintile,Average income (Dollars),Share of income (Percent)
1976,Canada,All family units,Market income,Total of quintiles,58200,100
1976,Canada,All family units,Market income,Lowest quintile,6400,2.2
1976,Canada,All family units,Market income,Second quintile,27600,9.5
1976,Canada,All family units,Market income,Third quintile,51000,17.5
1976,Canada,All family units,Market income,Fourth quintile,74400,25.6
1976,Canada,All family units,Market income,Highest quintile,131700,45.3
1976,Canada,All family units,Total income,Total of quintiles,63400,100
1976,Canada,All family units,Total income,Lowest quintile,13400,4.2
1976,Canada,All family units,Total income,Second quintile,34200,10.8
1976,Canada,All family units,Total income,Third quintile,55400,17.5
1976,Canada,All family units,Total income,Fourth quintile,78400,24.7
1976,Canada,All family units,Total income,Highest quintile,135700,42.8
1976,Canada,All family units,After-tax income,Total of quintiles,53600,100
1976,Canada,All family units,After-tax income,Lowest quintile,13000,4.9
1976,Canada,All family units,After-tax income,Second quintile,30900,11.5
1976,Canada,All family units,After-tax income,Third quintile,48000,17.9
1976,Canada,All family units,After-tax income,Fourth quintile,66200,24.7
1976,Canada,All family units,After-tax income,Highest quintile,109700,41
1976,Canada,"Economic families, two persons or more",Market income,Total of quintiles,68900,100
1976,Canada,"Economic families, two persons or more",Market income,Lowest quintile,12900,3.8
1976,Canada,"Economic families, two persons or more",Market income,Second quintile,41400,12
1976,Canada,"Economic families, two persons or more",Market income,Third quintile,62700,18.2
1976,Canada,"Economic families, two persons or more",Market income,Fourth quintile,84500,24.5
1976,Canada,"Economic families, two persons or more",Market income,Highest quintile,143100,41.5
1976,Canada,"Economic families, two persons or more",Total income,Total of quintiles,74600,100
1976,Canada,"Economic families, two persons or more",Total income,Lowest quintile,22900,6.1
1976,Canada,"Economic families, two persons or more",Total income,Second quintile,47400,12.7
1976,Canada,"Economic families, two persons or more",Total income,Third quintile,67100,18
1976,Canada,"Economic families, two persons or more",Total income,Fourth quintile,88500,23.7
1976,Canada,"Economic families, two persons or more",Total income,Highest quintile,147100,39.4
1976,Canada,"Economic families, two persons or more",After-tax income,Total of quintiles,62700,100
1976,Canada,"Economic families, two persons or more",After-tax income,Lowest quintile,21700,6.9
1976,Canada,"Economic families, two persons or more",After-tax income,Second quintile,42200,13.5
1976,Canada,"Economic families, two persons or more",After-tax income,Third quintile,57400,18.3
1976,Canada,"Economic families, two persons or more",After-tax income,Fourth quintile,74300,23.7
1976,Canada,"Economic families, two persons or more",After-tax income,Highest quintile,118100,37.6
1976,Canada,Unattached individuals,Market income,Total of quintiles,26300,100
1976,Canada,Unattached individuals,Market income,Lowest quintile,2500,1.9
1976,Canada,Unattached individuals,Market income,Second quintile,5800,4.4
1976,Canada,Unattached individuals,Market income,Third quintile,20000,15.2
