Year,GEO,Income concept,Economic family type,GINI
1976,Canada,Market income,All family units,0.447
1976,Canada,Market income,"Economic families, two persons or more",0.387
1976,Canada,Market income,Elderly families,0.63
1976,Canada,Market income,Elderly married couples,0.665
1976,Canada,Market income,Other elderly families,0.532
1976,Canada,Market income,Non-elderly families,0.348
1976,Canada,Market income,Married couples,0.331
1976,Canada,Market income,"Married couples, no earners",0.737
1976,Canada,Market income,"Married couples, one earner",0.383
1976,Canada,Market income,"Married couples, two earners",0.258
1976,Canada,Market income,Two-parent families with children,0.317
1976,Canada,Market income,"Two-parent families with children, no earners",0.892
1976,Canada,Market income,"Two-parent families with children, one earner",0.322
1976,Canada,Market income,"Two-parent families with children, two earners",0.281
1976,Canada,Market income,"Two-parent families with children, three or more earners",0.262
1976,Canada,Market income,Married couples with other relatives,0.306
1976,Canada,Market income,Lone-parent families,0.577
1976,Canada,Market income,Male lone-parent families,0.425
1976,Canada,Market income,Female lone-parent families,0.585
1976,Canada,Market income,"Female lone-parent families, no earners",0.876
1976,Canada,Market income,"Female lone-parent families, one earner",0.484
1976,Canada,Market income,"Female lone-parent families, two or more earners",0.347
1976,Canada,Market income,Other non-elderly families,0.414
1976,Canada,Market income,Unattached individuals,0.534
1976,Canada,Market income,Elderly males,0.784
1976,Canada,Market income,"Elderly males, non-earner",0.824
1976,Canada,Market income,"Elderly males, earner",0.547
1976,Canada,Market income,Elderly females,0.717
1976,Canada,Market income,"Elderly females, non-earner",0.732
1976,Canada,Market income,"Elderly females, earner",0.541
1976,Canada,Market income,Non-elderly males,0.419
1976,Canada,Market income,"Non-elderly males, non-earner",0.916
1976,Canada,Market income,"Non-elderly males, earner",0.357
1976,Canada,Market income,Non-elderly females,0.453
1976,Canada,Market income,"Non-elderly females, non-earner",0.845
1976,Canada,Market income,"Non-elderly females, earner",0.353
1976,Canada,Total income,All family units,0.392
1976,Canada,Total income,"Economic families, two persons or more",0.336
1976,Canada,Total income,Elderly families,0.407
1976,Canada,Total income,Elderly married couples,0.385
1976,Canada,Total income,Other elderly families,0.378
1976,Canada,Total income,Non-elderly families,0.316
1976,Canada,Total income,Married couples,0.304
1976,Canada,Total income,"Married couples, no earners",0.455
1976,Canada,Total income,"Married couples, one earner",0.342
1976,Canada,Total income,"Married couples, two earners",0.245
1976,Canada,Total income,Two-parent families with children,0.292
1976,Canada,Total income,"Two-parent families with children, no earners",0.312
1976,Canada,Total income,"Two-parent families with children, one earner",0.29
1976,Canada,Total income,"Two-parent families with children, two earners",0.26
1976,Canada,Total income,"Two-parent families with children, three or more earners",0.244
1976,Canada,Total income,Married couples with other relatives,0.284
1976,Canada,Total income,Lone-parent families,0.398
1976,Canada,Total income,Male lone-parent families,0.364
1976,Canada,Total income,Female lone-parent families,0.381
1976,Canada,Total income,"Female lone-parent families, no earners",0.259
1976,Canada,Total income,"Female lone-parent families, one earner",0.338
1976,Canada,Total income,"Female lone-parent families, two or more earners",0.276
1976,Canada,Total income,Other non-elderly families,0.345
1976,Canada,Total income,Unattached individuals,0.424
1976,Canada,Total income,Elderly males,0.464
1976,Canada,Total income,"Elderly males, non-earner",0.437
1976,Canada,Total income,"Elderly males, earner",0.44
1976,Canada,Total income,Elderly females,0.326
1976,Canada,Total income,"Elderly females, non-earner",0.306
1976,Canada,Total income,"Elderly females, earner",0.373
1976,Canada,Total income,Non-elderly males,0.386
1976,Canada,Total income,"Non-elderly males, non-earner",0.624
1976,Canada,Total income,"Non-elderly males, earner",0.34
1976,Canada,Total income,Non-elderly females,0.397
1976,Canada,Total income,"Non-elderly females, non-earner",0.572
1976,Canada,Total income,"Non-elderly females, earner",0.334
1976,Canada,After-tax income,All family units,0.364
1976,Canada,After-tax income,"Economic families, two persons or more",0.306
1976,Canada,After-tax income,Elderly families,0.365
1976,Canada,After-tax income,Elderly married couples,0.34
1976,Canada,After-tax income,Other elderly families,0.342
1976,Canada,After-tax income,Non-elderly families,0.289
1976,Canada,After-tax income,Married couples,0.274
1976,Canada,After-tax income,"Married couples, no earners",0.407
1976,Canada,After-tax income,"Married couples, one earner",0.305
1976,Canada,After-tax income,"Married couples, two earners",0.22
1976,Canada,After-tax income,Two-parent families with children,0.266
1976,Canada,After-tax income,"Two-parent families with children, no earners",0.314
1976,Canada,After-tax income,"Two-parent families with children, one earner",0.257
1976,Canada,After-tax income,"Two-parent families with children, two earners",0.234
1976,Canada,After-tax income,"Two-parent families with children, three or more earners",0.212
1976,Canada,After-tax income,Married couples with other relatives,0.253
1976,Canada,After-tax income,Lone-parent families,0.37
1976,Canada,After-tax income,Male lone-parent families,0.338
1976,Canada,After-tax income,Female lone-parent families,0.359
1976,Canada,After-tax income,"Female lone-parent families, no earners",0.257
1976,Canada,After-tax income,"Female lone-parent families, one earner",0.313
1976,Canada,After-tax income,"Female lone-parent families, two or more earners",0.26
1976,Canada,After-tax income,Other non-elderly families,0.321
1976,Canada,After-tax income,Unattached individuals,0.393
1976,Canada,After-tax income,Elderly males,0.432
1976,Canada,After-tax income,"Elderly males, non-earner",0.415
1976,Canada,After-tax income,"Elderly males, earner",0.383
1976,Canada,After-tax income,Elderly females,0.312
1976,Canada,After-tax income,"Elderly females, non-earner",0.296
1976,Canada,After-tax income,"Elderly females, earner",0.346
1976,Canada,After-tax income,Non-elderly males,0.36
1976,Canada,After-tax income,"Non-elderly males, non-earner",0.604
1976,Canada,After-tax income,"Non-elderly males, earner",0.315
1976,Canada,After-tax income,Non-elderly females,0.372
1976,Canada,After-tax income,"Non-elderly females, non-earner",0.554
1976,Canada,After-tax income,"Non-elderly females, earner",0.311
1977,Canada,Market income,All family units,0.434
1977,Canada,Market income,"Economic families, two persons or more",0.368
1977,Canada,Market income,Elderly families,0.613
1977,Canada,Market income,Elderly married couples,0.662
1977,Canada,Market income,Other elderly families,0.499
1977,Canada,Market income,Non-elderly families,0.328
1977,Canada,Market income,Married couples,0.309
1977,Canada,Market income,"Married couples, no earners",0.69
1977,Canada,Market income,"Married couples, one earner",0.334
1977,Canada,Market income,"Married couples, two earners",0.246
1977,Canada,Market income,Two-parent families with children,0.299
1977,Canada,Market income,"Two-parent families with children, no earners",0.897
1977,Canada,Market income,"Two-parent families with children, one earner",0.302
1977,Canada,Market income,"Two-parent families with children, two earners",0.254
1977,Canada,Market income,"Two-parent families with children, three or more earners",0.249
1977,Canada,Market income,Married couples with other relatives,0.28
1977,Canada,Market income,Lone-parent families,0.55
1977,Canada,Market income,Male lone-parent families,0.326
1977,Canada,Market income,Female lone-parent families,0.581
1977,Canada,Market income,"Female lone-parent families, no earners",0.901
1977,Canada,Market income,"Female lone-parent families, one earner",0.444
